iceberg_id,start_time,end_time,start_latitude,start_longitude,observed_latitude,observed_longitude,persistence_error_km,baseline_error_km,calibrated_error_km
a78,2023-06-14,2023-06-15,-66.838,-47.394,-66.719,-47.295,13.967849629210122,10.489136041251372,8.143883794791117
a78,2023-06-15,2023-06-16,-66.719,-47.295,-66.702,-47.246,2.876039134117339,8.218221168530958,2.1285308900422177
a78,2023-06-16,2023-06-17,-66.702,-47.246,-66.689,-47.201,2.4599867928207773,2.447439705183799,2.371695125138587
a78,2023-06-17,2023-06-18,-66.689,-47.201,-66.663,-47.128,4.337924152054712,1.297513141933499,3.7722053474737023
a78,2023-06-18,2023-06-19,-66.663,-47.128,-66.621,-47.077,5.199267855536094,6.4508999340788105,4.27826924429985
a78,2023-06-19,2023-06-20,-66.621,-47.077,-66.53,-47.165,10.873475032761512,20.88378373968856,12.622604583137164
a78,2023-06-20,2023-06-21,-66.53,-47.165,-66.504,-47.232,4.158037064876481,7.23857416308908,2.172203294994084
b09i,2021-05-24,2021-05-25,-66.706,-44.029,-66.655,-44.106,6.627596351097979,8.290801711058943,5.212411812449803
b09i,2021-05-25,2021-05-26,-66.655,-44.106,-66.608,-44.193,6.504700348830447,0.5520014080719781,4.096886900683284
b09i,2021-05-26,2021-05-27,-66.608,-44.193,-66.569,-44.282,5.873590770852179,26.914835478153915,9.3108292646246
b09i,2021-05-27,2021-05-28,-66.569,-44.282,-66.54,-44.37,5.073079369229379,19.646272688568764,7.612422946183735
b09i,2021-05-28,2021-05-29,-66.54,-44.37,-66.52,-44.478,5.2944179352117775,20.90660923044939,8.438463910988359
b09i,2021-05-29,2021-05-30,-66.52,-44.478,-66.504,-44.621,6.6078862354022645,9.578904391541124,6.567749118651805
b09i,2021-05-30,2021-05-31,-66.504,-44.621,-66.491,-44.78,7.225363664291073,4.543715497414237,4.518817754971334
b16,2019-02-23,2019-02-24,-62.435,-44.095,-62.435,-44.095,0.0,17.682432360816716,3.692946238389638
b16,2019-02-24,2019-02-25,-62.435,-44.095,-62.435,-44.095,0.0,13.394376394856534,2.453626193157714
b16,2019-02-25,2019-02-26,-62.435,-44.095,-62.435,-44.095,0.0,12.409758049668982,2.178319936251336
b16,2019-02-26,2019-02-27,-62.435,-44.095,-62.435,-44.095,0.0,12.11440601973197,2.877466740927153
b16,2019-02-27,2019-02-28,-62.435,-44.095,-62.435,-44.095,0.0,28.412314169363142,6.8390108675768495
b16,2019-02-28,2019-03-01,-62.435,-44.095,-62.393,-44.157,5.672802001193271,30.44149293761226,4.594295137956313
b16,2019-03-01,2019-03-02,-62.393,-44.157,-62.389,-44.332,9.06293172193379,32.874428991794346,9.529770555655224
d21b,2020-08-24,2020-08-25,-66.551,-44.266,-66.554,-44.35,3.746272630987325,7.1238013972195695,1.5623309001304926
d21b,2020-08-25,2020-08-26,-66.554,-44.35,-66.572,-44.292,3.2651635171309503,9.443684028114976,4.5901722042629105
d21b,2020-08-26,2020-08-27,-66.572,-44.292,-66.562,-44.422,5.878023021092408,12.003987526371626,6.100094343743963
d21b,2020-08-27,2020-08-28,-66.562,-44.422,-66.605,-44.63,10.399419057508203,6.5147727471200065,9.410072611852627
d21b,2020-08-28,2020-08-29,-66.605,-44.63,-66.525,-45.007,18.967050591264794,2.9929406748490615,14.105092344868673
d21b,2020-08-29,2020-08-30,-66.525,-45.007,-66.387,-45.29,19.901620071497323,17.6654098094362,15.443366306586421
d21b,2020-08-30,2020-08-31,-66.387,-45.29,-66.212,-45.566,23.11262531838726,15.346385523522782,15.857160540401917
d29a,2022-11-01,2022-11-02,-66.904,-44.191,-66.912,-44.41,9.630249961490652,9.749173557498207,8.448534425704533
d29a,2022-11-02,2022-11-03,-66.912,-44.41,-66.918,-44.612,8.867247351655786,10.63321422378285,8.019849049140614
d29a,2022-11-03,2022-11-04,-66.918,-44.612,-66.804,-44.994,21.034520685488076,26.51317901426883,20.935544648235453
d29a,2022-11-04,2022-11-05,-66.804,-44.994,-66.777,-45.108,5.849840178742726,4.645416921253026,3.4243345065171598
d29a,2022-11-05,2022-11-06,-66.777,-45.108,-66.736,-45.218,6.662617826611276,30.758055469825354,4.286745493713448
d29a,2022-11-06,2022-11-07,-66.736,-45.218,-66.685,-45.323,7.336553974785767,8.646587372211096,5.356295230621795
d29a,2022-11-07,2022-11-08,-66.685,-45.323,-66.628,-45.421,7.693939065474897,25.494522018820394,11.633821948666366
d29c,2023-06-16,2023-06-17,-65.564,-49.964,-65.532,-49.878,5.340583590155825,2.4656077941694363,4.215469123743387
