iceberg_id,start_time,end_time,start_extraction_available,end_extraction_available,pair_usable,start_available,end_available,complete,environment_complete
a62,2012-04-19,2012-04-20,False,False,False,True,True,True,False
a62,2012-04-20,2012-04-21,False,False,False,True,True,True,False
a62,2012-04-21,2012-04-22,False,False,False,True,True,True,False
a62,2012-04-22,2012-04-23,False,False,False,True,True,True,False
a62,2012-04-23,2012-04-24,False,False,False,True,True,True,False
a62,2012-04-24,2012-04-25,False,False,False,True,True,True,False
a62,2012-04-25,2012-04-26,False,False,False,True,True,True,False
a69a,2022-12-18,2022-12-19,True,True,True,False,False,False,False
a69a,2022-12-19,2022-12-20,True,True,True,False,False,False,False
a69a,2022-12-20,2022-12-21,True,True,True,False,False,False,False
a69a,2022-12-21,2022-12-22,True,True,True,False,False,False,False
a69a,2022-12-22,2022-12-23,True,True,True,False,False,False,False
a69a,2022-12-23,2022-12-24,True,True,True,False,False,False,False
a69a,2022-12-24,2022-12-25,True,True,True,False,False,False,False
a78,2023-06-14,2023-06-15,True,True,True,True,True,True,True
a78,2023-06-15,2023-06-16,True,True,True,True,True,True,True
a78,2023-06-16,2023-06-17,True,True,True,True,True,True,True
a78,2023-06-17,2023-06-18,True,True,True,True,True,True,True
a78,2023-06-18,2023-06-19,True,True,True,True,True,True,True
a78,2023-06-19,2023-06-20,True,True,True,True,True,True,True
a78,2023-06-20,2023-06-21,True,True,True,True,True,True,True
b09d,2016-12-02,2016-12-03,False,False,False,True,True,True,False
b09d,2016-12-03,2016-12-04,False,False,False,True,True,True,False
b09d,2016-12-04,2016-12-05,False,False,False,True,True,True,False
b09d,2016-12-05,2016-12-06,False,False,False,True,True,True,False
b09d,2016-12-06,2016-12-07,False,False,False,True,True,True,False
b09d,2016-12-07,2016-12-08,False,False,False,True,True,True,False
b09d,2016-12-08,2016-12-09,False,False,False,True,True,True,False
b09h,2017-03-11,2017-03-12,False,False,False,True,True,True,False
b09h,2017-03-12,2017-03-13,False,False,False,True,True,True,False
b09h,2017-03-13,2017-03-14,False,False,False,True,True,True,False
b09h,2017-03-14,2017-03-15,False,False,False,True,True,True,False
b09h,2017-03-15,2017-03-16,False,False,False,True,True,True,False
b09h,2017-03-16,2017-03-17,False,False,False,True,True,True,False
b09h,2017-03-17,2017-03-18,False,False,False,True,True,True,False
b09i,2021-05-24,2021-05-25,True,True,True,True,True,True,True
b09i,2021-05-25,2021-05-26,True,True,True,True,True,True,True
