iceberg_id,start,end,pairs,lat_min,lat_max,lon_min,lon_max
d21a,2017-07-10,2017-07-17,7,-65.331,-65.139,-46.871,-46.421
b15r,2015-03-27,2015-04-03,7,-66.994,-63.076,-49.92,-44.008
b09d,2016-12-02,2016-12-09,7,-64.868,-63.942,-45.882,-44.039
b16,2019-02-23,2019-03-02,7,-62.435,-60.878,-44.682,-44.002
a62,2012-04-19,2012-04-26,7,-66.967,-64.544,-48.207,-44.055
d29a,2022-11-01,2022-11-08,7,-66.918,-63.808,-46.531,-44.137
b09i,2021-05-24,2021-05-31,7,-66.706,-64.373,-45.607,-44.029
b09h,2017-03-11,2017-03-18,7,-66.953,-64.024,-47.647,-44.256
uk125,2017-03-31,2017-04-07,7,-66.8,-64.371,-46.396,-44.384
d29c,2023-06-16,2023-06-23,7,-65.564,-62.658,-49.987,-44.175
a78,2023-06-14,2023-06-21,7,-66.838,-64.412,-47.394,-44.838
d30b,2023-07-29,2023-08-05,7,-61.551,-61.14,-49.768,-47.53
d21b,2020-08-24,2020-08-31,7,-66.605,-65.3,-46.03,-44.033
a69a,2022-12-18,2022-12-25,7,-60.629,-60.062,-49.939,-48.234
d31,2023-08-04,2023-08-11,7,-62.47,-62.33,-48.18,-45.9
