iceberg_id,date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
d21a,2017-07-10,1,559.75,5,-65.331,-46.871,0,0.0,0.0
d21a,2017-07-11,1,0.0,5,-65.331,-46.871,0,0.0,0.0
d21a,2017-07-12,1,0.0,5,-65.331,-46.871,0,0.0,0.0
d21a,2017-07-13,1,0.0,5,-65.331,-46.871,0,0.0,0.0
d21a,2017-07-14,1,0.0,5,-65.331,-46.871,0,0.0,0.0
d21a,2017-07-15,1,0.0,5,-65.331,-46.871,0,0.0,0.0
d21a,2017-07-16,1,0.0,5,-65.331,-46.871,0,0.0,0.0
d21a,2017-07-17,1,0.0,5,-65.331,-46.871,0,0.0,0.0
b15r,2015-03-27,1,5.307,7,-66.994,-49.92,0,0.0,0.0
b15r,2015-03-28,1,6.442,7,-66.949,-49.826,0,0.0,0.0
b15r,2015-03-29,1,8.011,7,-66.877,-49.815,0,0.0,0.0
b15r,2015-03-30,1,7.766,7,-66.875,-49.637,0,0.0,0.0
b15r,2015-03-31,1,6.422,7,-66.907,-49.515,0,0.0,0.0
b15r,2015-04-01,1,4.413,7,-66.915,-49.416,0,0.0,0.0
b15r,2015-04-02,1,3.052,7,-66.904,-49.352,0,0.0,0.0
b15r,2015-04-03,1,8.238,7,-66.868,-49.517,0,0.0,0.0
b09d,2016-12-02,1,5.917,7,-64.868,-44.039,0,0.0,0.0
b09d,2016-12-03,1,5.707,7,-64.853,-44.155,0,0.0,0.0
b09d,2016-12-04,1,5.243,7,-64.835,-44.258,0,0.0,0.0
b09d,2016-12-05,1,3.257,7,-64.833,-44.327,0,0.0,0.0
b09d,2016-12-06,1,3.251,7,-64.841,-44.393,0,0.0,0.0
b09d,2016-12-07,1,4.889,7,-64.858,-44.488,0,0.0,0.0
b09d,2016-12-08,1,5.505,7,-64.827,-44.579,0,0.0,0.0
b09d,2016-12-09,1,0.493,7,-64.824,-44.587,0,0.0,0.0
b16,2019-02-23,1,5.039,7,-62.435,-44.095,0,0.0,0.0
b16,2019-02-24,1,0.0,7,-62.435,-44.095,0,0.0,0.0
b16,2019-02-25,1,0.0,7,-62.435,-44.095,0,0.0,0.0
b16,2019-02-26,1,0.0,7,-62.435,-44.095,0,0.0,0.0
b16,2019-02-27,1,0.0,7,-62.435,-44.095,0,0.0,0.0
b16,2019-02-28,1,0.0,7,-62.435,-44.095,0,0.0,0.0
b16,2019-03-01,1,5.562,7,-62.393,-44.157,0,0.0,0.0
b16,2019-03-02,1,9.039,7,-62.389,-44.332,0,0.0,0.0
a62,2012-04-19,1,9.827,15,-66.967,-48.171,2,439.39,0.0
a62,2012-04-20,1,7.478,15,-66.901,-48.202,2,438.26,0.0
a62,2012-04-21,1,4.378,15,-66.862,-48.207,2,435.29,0.0
a62,2012-04-22,1,2.146,14,-66.846,-48.178,2,431.96,0.0
a62,2012-04-23,1,4.332,15,-66.827,-48.091,2,429.28,0.0
a62,2012-04-24,1,10.429,15,-66.796,-47.866,2,427.42,0.0
a62,2012-04-25,1,2.116,15,-66.79,-47.912,2,425.79,0.0
a62,2012-04-26,1,4.488,15,-66.76,-47.842,2,422.52,0.0
d29a,2022-11-01,1,9.516,3,-66.904,-44.191,0,0.0,0.0
d29a,2022-11-02,1,9.574,3,-66.912,-44.41,0,0.0,0.0
d29a,2022-11-03,1,8.828,3,-66.918,-44.612,0,0.0,0.0
d29a,2022-11-04,1,20.917,6,-66.804,-44.994,0,0.0,0.0
d29a,2022-11-05,1,5.804,7,-66.777,-45.108,0,0.0,0.0
d29a,2022-11-06,1,6.652,7,-66.736,-45.218,0,0.0,0.0
d29a,2022-11-07,1,7.297,7,-66.685,-45.323,0,0.0,0.0
d29a,2022-11-08,1,7.602,7,-66.628,-45.421,0,0.0,0.0
b09i,2021-05-24,1,6.646,3,-66.706,-44.029,1,7733.77,0.0
b09i,2021-05-25,1,6.667,3,-66.655,-44.106,1,7733.77,0.0
b09i,2021-05-26,1,6.403,3,-66.608,-44.193,1,7733.77,0.0
b09i,2021-05-27,1,5.871,3,-66.569,-44.282,1,7733.77,0.0
b09i,2021-05-28,1,5.047,3,-66.54,-44.37,1,7733.77,0.0
b09i,2021-05-29,1,5.293,3,-66.52,-44.478,1,7733.77,0.0
b09i,2021-05-30,1,6.55,3,-66.504,-44.621,1,7733.77,0.0
b09i,2021-05-31,1,7.17,3,-66.491,-44.78,1,7733.77,0.0
b09h,2017-03-11,1,8.785,5,-66.953,-44.453,0,0.0,0.0
b09h,2017-03-12,1,0.0,5,-66.953,-44.453,0,0.0,0.0
b09h,2017-03-13,1,0.0,5,-66.953,-44.453,0,0.0,0.0
b09h,2017-03-14,1,0.0,5,-66.953,-44.453,0,0.0,0.0
b09h,2017-03-15,1,25.252,5,-66.787,-44.849,0,0.0,0.0
b09h,2017-03-16,1,13.254,5,-66.691,-45.029,0,0.0,0.0
b09h,2017-03-17,1,0.0,5,-66.691,-45.029,0,0.0,0.0
b09h,2017-03-18,1,14.266,5,-66.819,-45.034,0,0.0,0.0
uk125,2017-03-31,1,44.853,4,-66.708,-44.84,0,0.0,0.0
uk125,2017-04-01,1,0.0,4,-66.708,-44.84,0,0.0,0.0
uk125,2017-04-02,1,10.828,4,-66.8,-44.925,0,0.0,0.0
uk125,2017-04-03,1,0.0,4,-66.8,-44.925,0,0.0,0.0
uk125,2017-04-04,1,17.632,4,-66.769,-45.321,0,0.0,0.0
uk125,2017-04-05,1,6.812,4,-66.709,-45.298,0,0.0,0.0
uk125,2017-04-06,1,16.712,4,-66.586,-45.079,0,0.0,0.0
uk125,2017-04-07,1,27.978,4,-66.337,-44.968,0,0.0,0.0
d29c,2023-06-16,1,7.83,5,-65.564,-49.964,0,0.0,0.0
d29c,2023-06-17,1,5.29,5,-65.532,-49.878,0,0.0,0.0
d29c,2023-06-18,1,2.183,5,-65.529,-49.831,0,0.0,0.0
d29c,2023-06-19,1,0.0,5,-65.529,-49.831,0,0.0,0.0
d29c,2023-06-20,1,3.584,5,-65.502,-49.872,0,0.0,0.0
d29c,2023-06-21,1,7.928,5,-65.434,-49.928,0,0.0,0.0
d29c,2023-06-22,1,20.116,5,-65.253,-49.949,0,0.0,0.0
d29c,2023-06-23,1,12.225,5,-65.146,-49.892,0,0.0,0.0
a78,2023-06-14,1,18.556,5,-66.838,-47.394,0,0.0,0.0
a78,2023-06-15,1,13.888,5,-66.719,-47.295,0,0.0,0.0
a78,2023-06-16,1,2.868,5,-66.702,-47.246,0,0.0,0.0
a78,2023-06-17,1,2.425,5,-66.689,-47.201,0,0.0,0.0
a78,2023-06-18,1,4.375,5,-66.663,-47.128,0,0.0,0.0
a78,2023-06-19,1,5.159,5,-66.621,-47.077,0,0.0,0.0
a78,2023-06-20,1,10.739,5,-66.53,-47.165,0,0.0,0.0
a78,2023-06-21,1,4.179,5,-66.504,-47.232,0,0.0,0.0
d30b,2023-07-29,1,236.175,5,-61.551,-49.768,0,0.0,0.0
d30b,2023-07-30,1,12.065,5,-61.478,-49.6,0,0.0,0.0
d30b,2023-07-31,1,10.14,5,-61.403,-49.491,0,0.0,0.0
d30b,2023-08-01,1,9.137,5,-61.325,-49.439,0,0.0,0.0
d30b,2023-08-02,1,4.122,5,-61.294,-49.397,0,0.0,0.0
d30b,2023-08-03,1,3.349,5,-61.268,-49.364,0,0.0,0.0
d30b,2023-08-04,1,4.608,7,-61.253,-49.283,0,0.0,0.0
d30b,2023-08-05,1,4.743,7,-61.239,-49.2,0,0.0,0.0
d21b,2020-08-24,1,21.878,7,-66.551,-44.266,2,626.41,0.0
d21b,2020-08-25,1,3.711,7,-66.554,-44.35,2,627.67,0.0
d21b,2020-08-26,1,3.234,7,-66.572,-44.292,2,628.81,0.0
d21b,2020-08-27,1,5.834,7,-66.562,-44.422,1,629.89,0.0
d21b,2020-08-28,1,10.372,6,-66.605,-44.63,1,631.0,0.0
d21b,2020-08-29,1,18.864,7,-66.525,-45.007,1,632.12,0.0
d21b,2020-08-30,1,19.823,7,-66.387,-45.29,1,633.09,0.0
d21b,2020-08-31,1,23.006,7,-66.212,-45.566,1,634.32,0.0
a69a,2022-12-18,1,4.293,3,-60.58,-49.939,0,0.0,0.0
a69a,2022-12-19,1,5.47,3,-60.558,-49.849,0,0.0,0.0
a69a,2022-12-20,1,5.823,3,-60.537,-49.751,0,0.0,0.0
a69a,2022-12-21,1,5.285,3,-60.52,-49.661,0,0.0,0.0
a69a,2022-12-22,1,9.684,7,-60.51,-49.485,0,0.0,0.0
a69a,2022-12-23,1,0.785,6,-60.507,-49.472,0,0.0,0.0
a69a,2022-12-24,1,1.255,7,-60.501,-49.492,0,0.0,0.0
a69a,2022-12-25,1,0.124,7,-60.5,-49.492,0,0.0,0.0
d31,2023-08-04,3,12.301,3,-62.33,-48.18,0,0.0,0.0
d31,2023-08-05,1,10.383,3,-62.338,-47.979,0,0.0,0.0
d31,2023-08-06,1,8.484,3,-62.358,-47.82,0,0.0,0.0
d31,2023-08-07,1,7.352,3,-62.385,-47.69,0,0.0,0.0
d31,2023-08-08,1,6.737,3,-62.415,-47.576,0,0.0,0.0
d31,2023-08-09,1,6.469,3,-62.442,-47.465,0,0.0,0.0
d31,2023-08-10,1,6.603,3,-62.462,-47.344,0,0.0,0.0
d31,2023-08-11,1,7.436,3,-62.47,-47.2,0,0.0,0.0
